order_id,user_id,timestamp,order_date,order_category,has_availed,item_id,rating,feedback,sentiment
0,1035,2020-03-05 15:20:26,2020-03-06,Lunch,1,2,3.0,Tasty food,neutral
1,1028,2020-03-05 15:42:26,2020-03-06,Lunch,1,1,3.0,"Paneer curry was much better than last time , just the right amount of spice",neutral
2,1023,2020-03-05 15:43:26,2020-03-06,Lunch,1,2,3.0,Homely food.. Loved it...!!,positive
3,1025,2020-03-05 16:10:26,2020-03-06,Lunch,1,0,2.0,Raitha served with biryani is watery. ,neutral
4,1033,2020-03-05 18:03:26,2020-03-06,Lunch,1,2,3.0,Everything tasted amazing,positive
5,1043,2020-03-05 18:19:26,2020-03-06,Lunch,1,1,2.0,Raitha served with biryani is watery. ,neutral
6,1040,2020-03-05 18:20:26,2020-03-06,Lunch,1,1,3.0,The quality of food they serve for the price is very commendable.,neutral
7,1013,2020-03-05 18:28:26,2020-03-06,Lunch,1,1,,,
8,1041,2020-03-05 18:44:26,2020-03-06,Lunch,1,1,,,
9,1001,2020-03-05 18:49:26,2020-03-06,Lunch,1,2,,,
10,1004,2020-03-05 19:31:26,2020-03-06,Lunch,1,2,3.0,"Food is delicious, not spicy and not oily.",neutral
11,1036,2020-03-05 19:37:26,2020-03-06,Lunch,1,1,,,
12,1002,2020-03-05 19:42:26,2020-03-06,Lunch,1,2,,,
13,1050,2020-03-05 20:16:26,2020-03-06,Lunch,1,0,3.0,food is delectable,positive
14,1008,2020-03-05 20:18:26,2020-03-06,Lunch,1,0,,,
15,1039,2020-03-05 20:51:26,2020-03-06,Lunch,1,2,,,
16,1007,2020-03-05 21:00:26,2020-03-06,Lunch,1,1,,,
17,1005,2020-03-05 21:03:26,2020-03-06,Lunch,1,1,3.0,Curry was tasty with good amount of paneer,neutral
18,1049,2020-03-05 21:16:26,2020-03-06,Lunch,1,1,,,
19,1011,2020-03-05 21:52:26,2020-03-06,Lunch,1,0,,,
20,1018,2020-03-05 23:03:26,2020-03-06,Lunch,1,2,2.0,food is ok taste can be improved.,positive
21,1020,2020-03-05 23:06:26,2020-03-06,Lunch,1,1,,,
22,1021,2020-03-05 23:42:26,2020-03-06,Lunch,1,0,3.0,"Dal is really good , curry is OK , overall its edible but can be improved",neutral
23,1015,2020-03-06 00:25:26,2020-03-06,Lunch,1,1,,,
24,1003,2020-03-06 00:29:26,2020-03-06,Lunch,1,0,,,
25,1006,2020-03-06 01:13:26,2020-03-06,Lunch,1,2,3.0,Food is tasty and delicious,neutral
26,1022,2020-03-06 01:16:26,2020-03-06,Lunch,1,0,3.0,potato fry taste was super feels like homemade ,positive
27,1048,2020-03-06 01:32:26,2020-03-06,Lunch,1,1,1.0,"Aloo is not cooked at all , it tasted really bad",neutral
28,1017,2020-03-06 02:06:26,2020-03-06,Lunch,1,1,3.0,"Dal is really good , curry is OK , overall its edible but can be improved",neutral
29,1029,2020-03-06 02:46:26,2020-03-06,Lunch,1,2,3.0,Good taste .....gongura rice is good,positive
30,1010,2020-03-06 03:36:26,2020-03-06,Lunch,1,1,1.0,paneer butter masala and roti's were pathetic,neutral
31,1012,2020-03-06 03:57:26,2020-03-06,Lunch,1,1,,,
32,1044,2020-03-06 04:04:26,2020-03-06,Lunch,1,1,3.0,flavorful,neutral
33,1032,2020-03-06 04:20:26,2020-03-06,Lunch,1,1,3.0,Food is awesome,positive
34,1024,2020-03-06 05:15:26,2020-03-06,Lunch,1,2,,,
35,1009,2020-03-06 05:16:26,2020-03-06,Lunch,1,0,1.0,Tasty was very bad.. got annoying smell from dish,neutral
36,1014,2020-03-06 05:27:26,2020-03-06,Lunch,1,0,,,
37,1027,2020-03-06 06:02:26,2020-03-06,Lunch,1,1,,,
38,1042,2020-03-06 06:25:26,2020-03-06,Lunch,1,0,1.0,"Chicken Biryani was downright terrible however. In front of the rest of the competition, the chicken pieces were nearly nill and the flavor level was bad.",neutral
39,1045,2020-03-06 06:29:26,2020-03-06,Lunch,1,0,3.0,"Food is delicious, not spicy and not oily.",neutral
40,1031,2020-03-06 06:51:26,2020-03-06,Lunch,1,2,3.0,The quality of food they serve for the price is very commendable.,neutral
41,1037,2020-03-06 07:32:26,2020-03-06,Lunch,1,2,1.0,The food was not good at all. No balance in the flavours and the chicken smells raw.,neutral
42,1026,2020-03-06 07:47:26,2020-03-06,Lunch,1,1,2.0,the quantity of pulao and chicken curry was completely less compared to their starting time.,neutral
43,1016,2020-03-06 07:48:26,2020-03-06,Lunch,1,1,3.0,The quality of food they serve for the price is very commendable.,neutral
44,1046,2020-03-06 08:27:26,2020-03-06,Lunch,1,2,3.0,Curry is good and Roti's are also fine,neutral
45,1047,2020-03-06 08:27:26,2020-03-06,Lunch,1,1,,,
46,1034,2020-03-06 08:41:26,2020-03-06,Lunch,1,0,,,
0,1038,2020-03-06 11:36:26,2020-03-06,Dinner,1,12,1.0,Pulao was way below Mark,neutral
1,1032,2020-03-06 11:37:26,2020-03-06,Dinner,1,3,,,
2,1006,2020-03-06 11:50:26,2020-03-06,Dinner,1,12,,,
3,1002,2020-03-06 12:09:26,2020-03-06,Dinner,1,3,,,
4,1022,2020-03-06 12:29:26,2020-03-06,Dinner,1,3,,,
5,1025,2020-03-06 13:02:26,2020-03-06,Dinner,1,3,,,
6,1050,2020-03-06 14:44:26,2020-03-06,Dinner,1,3,,,
47,1032,2020-03-08 15:07:26,2020-03-09,Lunch,1,3,,,
48,1005,2020-03-08 15:15:26,2020-03-09,Lunch,1,6,,,
49,1022,2020-03-08 16:00:26,2020-03-09,Lunch,1,4,,,
50,1047,2020-03-08 17:33:26,2020-03-09,Lunch,1,6,,,
51,1011,2020-03-08 17:50:26,2020-03-09,Lunch,1,4,,,
52,1045,2020-03-08 18:11:26,2020-03-09,Lunch,1,8,1.0, paneer biryani taste was worst,negative
53,1012,2020-03-08 19:30:26,2020-03-09,Lunch,1,9,,,
54,1030,2020-03-08 19:45:26,2020-03-09,Lunch,1,6,,,
55,1042,2020-03-08 19:52:26,2020-03-09,Lunch,1,12,,,
56,1003,2020-03-08 20:14:26,2020-03-09,Lunch,1,3,,,
57,1009,2020-03-08 20:33:26,2020-03-09,Lunch,1,4,2.0,"curry is a bit oily , can be improved",neutral
58,1016,2020-03-08 20:44:26,2020-03-09,Lunch,1,4,1.0,tasteless and worthless Biryani,neutral
59,1029,2020-03-08 21:04:26,2020-03-09,Lunch,1,3,2.0,"Food is not cooked properly and taste is bad. Roti's are burnt too much it became like papad , chicken curry is very hard to eat",neutral
60,1038,2020-03-08 21:36:26,2020-03-09,Lunch,1,12,,,
61,1002,2020-03-08 22:15:26,2020-03-09,Lunch,1,5,2.0,"Biryani was really bad though. First place, the chicken pieces were almost nill and the spice level was not good. ",neutral
62,1049,2020-03-08 23:09:26,2020-03-09,Lunch,1,10,3.0,"Paneer curry was much better than last time , just the right amount of spice",neutral
64,1039,2020-03-08 23:42:26,2020-03-09,Lunch,1,12,2.0,"Biryani was really bad though. First place, the chicken pieces were almost nill and the spice level was not good. ",neutral
63,1025,2020-03-08 23:42:26,2020-03-09,Lunch,1,13,,,
65,1014,2020-03-08 23:54:26,2020-03-09,Lunch,1,13,,,
66,1044,2020-03-09 00:33:26,2020-03-09,Lunch,1,13,1.0,paneer butter masala and roti's were pathetic,neutral
67,1027,2020-03-09 00:41:26,2020-03-09,Lunch,1,8,2.0,The dishes are quite spicy that we could not complete it,neutral
68,1033,2020-03-09 01:40:26,2020-03-09,Lunch,1,3,3.0,One of best chicken biryanis i have had,neutral
69,1023,2020-03-09 02:02:26,2020-03-09,Lunch,1,12,1.0,"roti isn’t hot, and the chicken curry served had a peculiar odor.",neutral
70,1028,2020-03-09 02:07:26,2020-03-09,Lunch,1,13,,,
71,1050,2020-03-09 02:21:26,2020-03-09,Lunch,1,10,2.0,Veg biryani was okay. It was not bad but not the good biryanis you would remember for long. Had very less vegetables in it but adequate Masala. A little too spicy for me. ,neutral
72,1043,2020-03-09 03:42:26,2020-03-09,Lunch,1,5,,,
73,1007,2020-03-09 03:54:26,2020-03-09,Lunch,1,13,1.0,Paneer Curry tasted awful and smelled bad.,negative
74,1010,2020-03-09 05:53:26,2020-03-09,Lunch,1,11,,,
75,1020,2020-03-09 05:59:26,2020-03-09,Lunch,1,3,,,
76,1040,2020-03-09 06:18:26,2020-03-09,Lunch,1,7,,,
77,1008,2020-03-09 07:29:26,2020-03-09,Lunch,1,4,2.0,I had ordered Parathas and they were very hard,neutral
78,1031,2020-03-09 07:57:26,2020-03-09,Lunch,1,5,,,
79,1021,2020-03-09 08:03:26,2020-03-09,Lunch,1,6,,,
80,1018,2020-03-09 08:39:26,2020-03-09,Lunch,1,5,,,
7,1046,2020-03-09 10:18:26,2020-03-09,Dinner,1,12,,,
8,1035,2020-03-09 11:32:26,2020-03-09,Dinner,1,12,3.0,perfect veggie food. Absolutely loved the spicy tangy food,positive
9,1012,2020-03-09 11:47:26,2020-03-09,Dinner,1,3,,,
10,1038,2020-03-09 12:00:26,2020-03-09,Dinner,1,12,,,
11,1029,2020-03-09 12:52:26,2020-03-09,Dinner,1,3,1.0,It felt like watery sambhar there were no veggies.,neutral
12,1022,2020-03-09 13:20:26,2020-03-09,Dinner,1,12,3.0,"Dal is really good , curry is OK , overall its edible but can be improved",neutral
13,1014,2020-03-09 13:28:26,2020-03-09,Dinner,1,12,,,
14,1025,2020-03-09 13:35:26,2020-03-09,Dinner,1,12,,,
15,1016,2020-03-09 14:49:26,2020-03-09,Dinner,1,12,3.0,Good taste .....gongura rice is good,positive
16,1041,2020-03-09 15:12:26,2020-03-09,Dinner,1,3,3.0,Loved the taste,positive
81,1050,2020-03-09 15:14:26,2020-03-10,Lunch,1,0,2.0,"just average, rice should have been boiled little more",neutral
82,1021,2020-03-09 15:21:26,2020-03-10,Lunch,1,14,3.0,food is delectable,positive
83,1036,2020-03-09 15:49:26,2020-03-10,Lunch,1,4,2.0,Biryani was too spicy and felt like eating mirchi rice with no flavour of biryani,neutral
17,1030,2020-03-09 15:54:26,2020-03-09,Dinner,1,12,2.0,"just average, rice should have been boiled little more",neutral
84,1008,2020-03-09 16:13:26,2020-03-10,Lunch,1,1,,,
86,1004,2020-03-09 17:01:26,2020-03-10,Lunch,1,0,,,
85,1014,2020-03-09 17:01:26,2020-03-10,Lunch,1,3,,,
87,1040,2020-03-09 17:06:26,2020-03-10,Lunch,1,12,2.0,"Chicken biryani is not mixed well , either its all rice or too much masala and pieces arent well cooked",neutral
88,1010,2020-03-09 17:53:26,2020-03-10,Lunch,1,12,,,
89,1038,2020-03-09 18:18:26,2020-03-10,Lunch,1,14,3.0,veg biryani was really good.,neutral
90,1039,2020-03-09 18:46:26,2020-03-10,Lunch,1,5,,,
91,1030,2020-03-09 19:42:26,2020-03-10,Lunch,1,4,,,
92,1009,2020-03-09 20:02:26,2020-03-10,Lunch,1,2,2.0,Dal is inedible and unworthy.,neutral
93,1049,2020-03-09 20:14:26,2020-03-10,Lunch,1,4,,,
94,1046,2020-03-09 20:38:26,2020-03-10,Lunch,1,12,,,
95,1018,2020-03-09 22:58:26,2020-03-10,Lunch,1,2,,,
96,1027,2020-03-09 23:38:26,2020-03-10,Lunch,1,5,3.0,Curry is yummy,positive
97,1023,2020-03-09 23:52:26,2020-03-10,Lunch,1,12,2.0,The food was so spicy that we were not able to eat what we had ordered.,neutral
98,1044,2020-03-10 00:06:26,2020-03-10,Lunch,1,4,3.0,Curry flavour is good and rotis are perfect,positive
99,1041,2020-03-10 00:07:26,2020-03-10,Lunch,1,7,,,
100,1028,2020-03-10 00:21:26,2020-03-10,Lunch,1,4,2.0,food is ok taste can be improved.,positive
101,1011,2020-03-10 01:13:26,2020-03-10,Lunch,1,14,,,
102,1002,2020-03-10 03:06:26,2020-03-10,Lunch,1,0,,,
103,1017,2020-03-10 03:55:26,2020-03-10,Lunch,1,0,,,
104,1024,2020-03-10 04:44:26,2020-03-10,Lunch,1,2,,,
105,1016,2020-03-10 06:15:26,2020-03-10,Lunch,1,5,3.0,Curry was tasty with good amount of paneer,neutral
106,1020,2020-03-10 06:54:26,2020-03-10,Lunch,1,7,,,
107,1029,2020-03-10 08:20:26,2020-03-10,Lunch,1,14,,,
18,1050,2020-03-10 10:38:26,2020-03-10,Dinner,1,12,1.0,It felt like watery sambhar there were no veggies.,neutral
19,1020,2020-03-10 10:46:26,2020-03-10,Dinner,1,3,,,
20,1030,2020-03-10 12:17:26,2020-03-10,Dinner,1,3,1.0,Worst curry ever seen didn't have any salt and huge amount of oil in that,neutral
21,1046,2020-03-10 13:19:26,2020-03-10,Dinner,1,3,2.0,"Food is not cooked properly and taste is bad. Roti's are burnt too much it became like papad , chicken curry is very hard to eat",neutral
22,1029,2020-03-10 13:35:26,2020-03-10,Dinner,1,12,3.0,Veg biryani is worth the price,neutral
23,1027,2020-03-10 13:37:26,2020-03-10,Dinner,1,3,,,
24,1032,2020-03-10 13:39:26,2020-03-10,Dinner,1,12,,,
108,1023,2020-03-10 15:08:26,2020-03-11,Lunch,1,13,2.0,The food was so spicy that we were not able to eat what we had ordered.,neutral
109,1050,2020-03-10 15:27:26,2020-03-11,Lunch,1,13,3.0,Delicious food,positive
25,1016,2020-03-10 15:32:26,2020-03-10,Dinner,1,3,,,
110,1028,2020-03-10 15:39:26,2020-03-11,Lunch,1,8,,,
26,1006,2020-03-10 15:44:26,2020-03-10,Dinner,1,12,,,
111,1019,2020-03-10 16:35:26,2020-03-11,Lunch,1,6,,,
112,1040,2020-03-10 17:29:26,2020-03-11,Lunch,1,10,1.0,Pulao was way below Mark,neutral
113,1011,2020-03-10 18:18:26,2020-03-11,Lunch,1,12,,,
114,1003,2020-03-10 19:17:26,2020-03-11,Lunch,1,3,,,
115,1024,2020-03-10 21:06:26,2020-03-11,Lunch,1,11,1.0,the smell of the food too odd,neutral
116,1020,2020-03-10 21:23:26,2020-03-11,Lunch,1,3,3.0,"Dal is really good , curry is OK , overall its edible but can be improved",neutral
117,1045,2020-03-10 21:39:26,2020-03-11,Lunch,1,5,,,
118,1048,2020-03-10 22:00:26,2020-03-11,Lunch,1,9,1.0,the smell of the food too odd,neutral
119,1022,2020-03-10 22:37:26,2020-03-11,Lunch,1,5,,,
120,1012,2020-03-11 00:57:26,2020-03-11,Lunch,1,5,,,
121,1006,2020-03-11 01:02:26,2020-03-11,Lunch,1,9,3.0,Rotis are soft and curry tasted fine,neutral
122,1033,2020-03-11 01:40:26,2020-03-11,Lunch,1,9,1.0, paneer biryani taste was worst,negative
123,1021,2020-03-11 01:54:26,2020-03-11,Lunch,1,13,,,
124,1002,2020-03-11 02:58:26,2020-03-11,Lunch,1,5,,,
125,1010,2020-03-11 03:14:26,2020-03-11,Lunch,1,12,2.0,the quantity of pulao and chicken curry was completely less compared to their starting time.,neutral
